Date,Price
September 2,34.13
September 3,33.89
September 4,33.95
September 5,33.91
September 8,34.00
September 9,33.67
September 10,33.48
September 11,33.40
September 12,33.06
September 15,32.62
September 16,32.29
September 17,32.43
September 18,31.64
September 19,31.59
September 22,31.49
September 23,31.62
September 24,31.61
September 25,31.62
September 26,31.72
September 29,31.49
September 30,31.42
October 1,30.94
October 2,30.40
October 3,30.90
October 6,31.09
October 7,30.60
October 8,30.77
October 9,30.08
October 10,29.46
October 13,29.41
October 14,29.99
October 15,29.72
October 16,29.26
October 17,29.54
October 20,29.57
